00,Dutchbird Airlines
WA,KLM Cityhopper BV
WB,Rwandair Express
WC,Islena
WD,Dairo Air
WF,Wideroes Fly
WH,China Northwest
WJ,Labrador Limited
WK,American Falcon
WL,Aeroperlas
WM,Windward Is Intl
WN,Southwest
WO,World Airways
WP,Aloha Island Air
WQ,Romanian Av Co
WR,Royal Tongan Air
WS,WestJet
WT,Nigeria Airways
WU,Tikal Jets, S.A.
WV,SWE FLY AB
WW,BMI Baby
WX,Cityjet
WY,Oman Av (SAOG)
WZ,West African Air
X3,Hapag Lloyd Expr
X4,Vanair Limited
X5,Afrique Airlines
X8,Icaro S.A.
XC,KD Air Corporation
XF,Vladivostok Air
XG,Air Mali Intl
XJ,Mesaba Aviation
XK,Compagnie Corse
XL,Lan Ecuador Aero
XM,Alitalia Express
XO,China Xinjiang
XP,TEM Enterprises
XQ,SunExpress
XR,Skywest Air Pty
XT,Exel Netherlands
XU,African Expr (K)
Y2,FlyGlobeSpan
Y4,Eagle Aviation
Y6,Cambodia Airlines
Y7,Trans Air Benin
Y9,Kish Airlines
YB,S. African Expr
YC,Caverton
YD,State Gomelavia
YE,Yanda Airlines
YG,South Airlines
YH,West Caribbean
YI,Air Sunshine Inc.
YK,Kibris Yollari
YM,Montenegro Air
YN,Air Creebec (1994)
YO,Heli Air Monaco
YP,Lloyd Flugreisen
YR,Eagle Canyon Air
YS,Compagnie Aerienne
YT,Air Togo S.A.
YU,Aerolineas Dom
YV,Mesa Airlines Inc.
YW,Air Nostrum LAMSA
YX,Midwest
Z2,Styrian & CO
Z3,Promech, Inc.
Z5,GMG Airlines Ltd.
Z6,Dnieproavia Joint
Z7,Av Development Co
Z8,Mali Airways
Z9,Aero Zambia
ZA,Astair Limited
ZB,Monarch Airlines
ZC,Royal Swazi Corp
ZE,Lineas Azteca
ZF,Atlantic Honduras
ZG,Air Express
ZH,Shenzhen Airlines
ZI,Aigle Azur
ZJ,Routing Intl Corp
ZK,Great Lakes Av
ZL,Hazelton Regional
ZN,Air Bourbon
ZO,Ozark Air Lines
ZP,Air St. Thomas
ZQ,Caribbean Sun Air
ZS,Azzurra Air S.p.A.
ZU,Helios Airways
ZV,Air Midwest
ZW,Wisconsin Corp
ZX,Georgian Alliance
ZY,Ada Air
